ModuleID,WedgeID,Rotation(rad),TranslationX(mm),TranslationY(mm)
FST-42,6,-0.004973,-1.37,-0.84
FST-54,7,-0.002374,-0.46,-0.40
FST-39,8,0.000965,-0.09,0.35
FST-63,9,0.000922,-0.14,0.48
FST-47,10,0.000446,-0.03,0.07
FST-28,11,-0.002303,0.46,-0.39
FST-34,18,-0.000597,-0.33,-0.02
FST-30,19,-0.000508,-0.12,0.06
FST-24,20,0.000832,-0.02,0.15
FST-33,21,-0.000603,0.00,-0.08
FST-22,22,0.000829,-0.12,0.11
FST-51,23,0.000188,-0.09,0.11
FST-21,30,-0.000222,-0.20,0.14
FST-48,31,0.000100,0.09,0.26
FST-17,32,-0.000105,0.02,-0.06
FST-43,33,-0.000567,0.05,-0.03
FST-55,34,0.000026,0.15,-0.01
FST-61,35,-0.000986,0.20,-0.12
FST-73,0,0.006294,1.71,-1.24
FST-75,1,0.001660,0.36,-0.38
FST-62,2,0.000248,0.16,-0.12
FST-72,3,-0.000551,0.17,0.33
FST-76,4,-0.000591,0.06,0.17
FST-59,5,0.001179,-0.21,0.02
FST-69,12,0.001016,0.18,-0.19
FST-78,13,-0.000123,-0.21,0.08
FST-50,14,0.000249,-0.05,-0.25
FST-27,15,0.000732,0.02,-0.18
FST-31,16,0.000256,-0.08,-0.21
FST-25,17,0.000340,0.06,-0.14
FST-41,24,-0.000552,-0.04,0.33
FST-65,25,-0.001512,-0.41,0.56
FST-37,26,-0.000901,-0.09,0.18
FST-67,27,0.000721,-0.08,-0.15
FST-45,28,-0.000116,-0.04,-0.13
FST-64,29,0.001173,-0.24,-0.33
