ModuleID,WedgeID,Rotation(rad),TranslationX(mm),TranslationY(mm)
FST-73,0,-0.006294209,-2.02500709,-0.871456156
FST-75,1,-0.001660462,-0.311413697,0.517637581
FST-62,2,-0.000247551,0.126196443,-0.082329226
FST-72,3,0.000550565,0.064444704,0.145275562
FST-76,4,0.000590619,-0.203060989,-0.176780102
FST-59,5,-0.001179317,0.572902537,0.110737287
FST-42,6,0.002302603,-1.029030385,-0.215028322
FST-54,7,-0.0004455,0.199938336,-0.219855963
FST-39,8,-0.000921984,0.06420474,0.053114108
FST-63,9,-0.000964895,-0.349565437,-0.269128421
FST-47,10,0.002374235,0.436870225,0.815312284
FST-28,11,0.004972717,1.505181989,-0.565211871
FST-69,12,-0.001015548,-0.454784493,0.080757649
FST-78,13,0.000123165,-0.105909015,-0.006714454
FST-50,14,-0.000249068,-0.090615474,-0.024834736
FST-27,15,-0.000732292,0.040197864,0.178067854
FST-31,16,-0.000256106,0.12606828,-0.041578687
FST-25,17,-0.000340478,0.125825035,-0.091163464
FST-34,18,-0.000188448,0.137185183,0.027636777
FST-30,19,-0.000828832,0.230976689,-0.123796282
FST-24,20,0.000603434,-0.02067418,0.1989773
FST-33,21,-0.000831987,-0.04440497,-0.256435437
FST-22,22,0.000507623,0.059471258,0.175929706
FST-51,23,0.000596917,0.102326804,0.155251684
FST-41,24,0.000552179,0.372609116,0.270753744
FST-65,25,0.001512048,0.085098768,-0.140368398
FST-37,26,0.000901258,0.160682441,-0.434878159
FST-67,27,-0.00072118,0.12066301,0.342579394
FST-45,28,0.000116483,-0.145956943,-0.251309653
FST-64,29,-0.001172827,0.558792566,-0.229590183
FST-21,30,0.000985701,-0.508709186,-0.031424279
FST-48,31,-2.57775E-05,0.212547368,-0.081002278
FST-17,32,0.000566746,-0.127747798,0.410103613
FST-43,33,0.000104772,0.030582608,-0.078662477
FST-55,34,-1E-04,0.134073931,0.290688407
FST-61,35,0.00022218,-0.162931874,0.133925286
