ModuleID Rotation(rad) TranslationX(mm) TranslationY(mm)
FST-73 -0.000610679 -0.0397459 0.0254772
FST-75 -4.53358e-05 0.0228375 -0.0215681
FST-62 -8.9406e-05 0.00068163 0.0319108
FST-72 0.000833628 -0.0135329 -0.0165578
FST-76 -0.00188139 0.0453062 0.0352391
FST-59 -0.000536729 -0.0142595 -0.00415887
FST-42 -0.000257202 0.014859 -0.0222156
FST-54 0.00135461 -0.0211795 0.00592767
FST-39 0.000120687 -0.00777947 -0.0197945
FST-63 0.000688693 -0.0130816 0.0345671
FST-47 -0.000614818 -0.0155103 -0.0117704
FST-28 0.000904379 0.0334749 0.0155739
FST-69 -0.00180496 -0.0183199 0.00872601
FST-78 -0.000421642 -0.0211996 0.0259315
FST-50 -5.69081e-05 0.00183409 0.00287231
FST-27 0.000750308 0.017975 0.0212679
FST-31 -0.00131646 -3.81409e-05 -0.0111915
FST-25 -0.000768117 0.022664 -0.0062709
FST-34 -0.00056217 -0.022571 0.00562167
FST-30 -0.0031449 0.0192602 -0.0492763
FST-24 0.00227336 -0.010271 0.052436
FST-33 -0.000794027 -0.0190346 -0.0273269
FST-22 -0.00222512 -0.0210589 -0.0193321
FST-51 -0.000182769 -0.0142157 0.0070408
FST-41 -0.00203052 -0.0339026 0.0283731
FST-65 -0.000211173 0.0189616 -0.00284977
FST-37 0.00131896 0.000122493 0.0219397
FST-67 0.000480036 -0.00591776 -0.0322614
FST-45 0.000674491 0.0294118 0.00338337
FST-64 8.20977e-05 -0.0202975 -0.013954
FST-21 -0.000758907 0.0296969 -0.0147492
FST-48 -0.000124511 -0.0402275 0.0146549
FST-17 -0.00245707 0.0159189 -0.0499704
FST-43 0.00030316 0.00834089 0.0223213
FST-55 -0.00124202 -0.0297762 -0.0192359
FST-61 -0.000401472 0.028087 0.00625086
