ModuleID Rotation(rad) TranslationX(mm) TranslationY(mm)
FST-73 -0.00013556 0.0108941 0.00534061
FST-73 -0.000144061 -0.00246022 0.00419054
FST-75 -0.00066327 -0.0211209 0.0141906
FST-75 0.0014454 0.0132325 -0.0235374
FST-62 -0.000755624 -0.00278674 0.019739
FST-62 0.00111758 0.0169346 -0.0333568
FST-72 0.00276477 -0.00453967 -0.0585133
FST-72 0.00159639 -0.00482696 -0.0323597
FST-76 0.000898569 -0.0169421 -0.0191217
FST-76 -0.000191741 -0.00304091 -0.00552768
FST-59 -0.0014272 0.0465446 0.0103201
FST-59 -0.000499139 0.00991905 -0.00280342
FST-42 0.000569728 -0.0131376 0.000281334
FST-42 -0.000205677 0.00753712 -0.000825877
FST-54 0.00313665 -0.0584518 0.0408941
FST-54 -0.00196736 0.0170852 -0.0416947
FST-39 0.00114032 -0.00549763 0.0294561
FST-39 -0.00315629 0.0274189 -0.0709478
FST-63 0.00127704 0.00220427 0.0158382
FST-63 -9.79016e-05 -0.00624903 0.00192855
FST-47 0.000123985 -0.00231975 0.00157485
FST-47 -0.000117665 -0.00309205 -0.00443014
FST-28 -8.21948e-05 -0.00947856 0.000866436
FST-28 -0.00331418 -0.0736019 -0.0149835
FST-69 0.000475142 0.00631546 0.00145212
FST-69 6.51315e-05 0.00699567 0.00275808
FST-78 0.000802703 0.0232722 -0.0249405
FST-78 0.00205945 0.0363331 -0.0298544
FST-50 -0.00326515 -0.0356623 0.0714464
FST-50 0.00436509 0.00820449 -0.111689
FST-27 7.78417e-05 0.0118023 0.00169364
FST-27 0.00046176 0.00438449 -0.0126513
FST-31 0.000813259 -0.0140083 -0.0278217
FST-31 0.000998629 -0.0234488 -0.0273507
FST-25 2.69154e-05 -0.00422479 0.00380675
FST-25 0.000494023 -0.00815958 0.00308987
FST-34 0.000395718 0.00454944 0.0144394
FST-34 0.00102693 -0.0282018 0.020791
FST-30 -0.000991407 0.0192739 -0.0126751
FST-30 -0.00113854 0.0330101 -0.028633
FST-24 0.000170887 -0.00501063 -0.00518656
FST-24 -0.00159177 0.00466667 -0.055063
FST-33 0.00117023 0.000888093 0.0229381
FST-33 0.00110369 -0.000533012 0.0143416
FST-22 0.00227925 0.0385218 0.0601114
FST-22 0.00405201 0.0649493 0.0780271
FST-51 -0.00144161 -0.0360311 -0.0016637
FST-51 0.001142 0.0222209 0.01286
FST-41 0.00144677 0.0503372 -0.0186606
FST-41 -0.000114908 -0.00134069 -0.00434707
FST-65 0.00208926 0.0390701 -0.031151
FST-65 -5.96732e-05 0.00687242 -0.00106028
FST-37 -0.000469256 0.00217426 0.00909611
FST-37 7.48861e-05 0.000614137 -0.0109912
FST-67 -0.000483901 0.00733997 0.0178164
FST-67 -0.000289212 0.00946428 0.0116
FST-45 -0.000453153 0.0071744 -0.00508564
FST-45 -0.000423999 0.00802767 -0.00448456
FST-64 0.00247731 -0.0460009 -0.0179352
FST-64 0.000556861 -0.0177172 -0.00509621
FST-21 -0.0022603 0.058254 -0.020284
FST-21 -0.00182139 0.0632229 -0.00987272
FST-48 0.00140513 -0.0185142 0.00215095
FST-48 -0.00184047 0.0255083 -0.0405717
FST-17 -0.000996173 0.0135907 -0.024126
FST-17 0.000820651 0.000168399 0.0284015
FST-43 0.000689711 0.0114364 0.0329428
FST-43 0.00135831 0.0124265 0.0313821
FST-55 0.00113781 0.0214123 0.024587
FST-55 -0.00102527 -0.0124377 -0.00637319
FST-61 -0.000682477 -0.0298355 -0.00396501
FST-61 4.81242e-05 -0.0128139 0.00216753
