x(mm),y(mm)
31.88,303.33
246.75,179.27
278.63,124.05
278.63,-124.05
246.75,-179.27
31.88,-303.33
-31.88,-303.33
-246.75,-179.27
-278.63,-124.05
-278.63,124.05
-246.75,179.27
-31.88,303.33
124.05,278.63
179.27,246.75
303.33,31.88
303.33,-31.88
179.27,-246.75
124.05,-278.63
-124.05,-278.63
-179.27,-246.75
-303.33,-31.88
-303.33,31.88
-179.27,246.75
-124.05,278.63
31.88,303.33
246.75,179.27
278.63,124.05
278.63,-124.05
246.75,-179.27
31.88,-303.33
-31.88,-303.33
-246.75,-179.27
-278.63,-124.05
-278.63,124.05
-246.75,179.27
-31.88,303.33
